Team,Year,Sport,Event,Medal
Germany,1992,Boxing,Boxing Men's Light-Heavyweight,Gold
France,2016,Athletics,Athletics Men's Decathlon,Silver
Italy,2000,Fencing,"Fencing Men's epee, Team",Gold
Great Britain,1988,Athletics,"Athletics Women's 10,000 metres",Silver
Great Britain,1956,Boxing,Boxing Men's Light-Middleweight,Bronze
Great Britain,1964,Swimming,Swimming Men's 100 metres Freestyle,Silver
Great Britain,2000,Cycling,"Cycling Women's Individual Pursuit, 3,000 metres",Bronze
Great Britain,1988,Sailing,Sailing Mixed Two Person Keelboat,Gold
Great Britain,2012,Canoeing,"Canoeing Men's Kayak Singles, 200 metres",Gold
Great Britain,1984,Athletics,"Athletics Men's 10,000 metres",Silver
Great Britain,1956,Boxing,Boxing Men's Lightweight,Gold
Great Britain,1960,Boxing,Boxing Men's Lightweight,Bronze
Great Britain,1972,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Gold
Germany,1988,Athletics,Athletics Women's Javelin Throw,Gold
France,1992,Judo,Judo Women's Half-Heavyweight,Bronze
Belgium,2000,Cycling,"Cycling Men's Mountainbike, Cross-Country",Silver
Germany,1988,Swimming,Swimming Women's 50 metres Freestyle,Bronze
France,2008,Athletics,"Athletics Men's 3,000 metres Steeplechase",Silver
France,2012,Athletics,"Athletics Men's 3,000 metres Steeplechase",Silver
France,2016,Athletics,"Athletics Men's 3,000 metres Steeplechase",Bronze
Spain,1980,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Bronze
Italy,1960,Gymnastics,Gymnastics Men's Floor Exercise,Bronze
Italy,1964,Gymnastics,Gymnastics Men's Floor Exercise,Gold
Italy,1964,Gymnastics,Gymnastics Men's Parallel Bars,Bronze
Italy,1964,Gymnastics,Gymnastics Men's Rings,Silver
Italy,1972,Athletics,Athletics Men's 200 metres,Bronze
Italy,1980,Athletics,Athletics Men's 200 metres,Gold
Germany,1996,Archery,Archery Women's Team,Silver
Germany,2000,Archery,Archery Women's Team,Bronze
Great Britain,1984,Weightlifting,Weightlifting Men's Middle-Heavyweight,Bronze
Belgium,2004,Cycling,"Cycling Men's Road Race, Individual",Bronze
Italy,1996,Swimming,Swimming Men's 200 metres Backstroke,Bronze
France,2004,Sailing,Sailing Women's Windsurfer,Gold
Great Britain,1996,Sailing,Sailing Men's Two Person Dinghy,Silver
Great Britain,2000,Athletics,Athletics Women's 400 metres,Bronze
France,2004,Swimming,Swimming Women's 50 metres Freestyle,Silver
Germany,1980,Swimming,Swimming Women's 100 metres Freestyle,Silver
Germany,1980,Swimming,Swimming Women's 100 metres Butterfly,Gold
Germany,1960,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Silver
Germany,1964,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Bronze
Germany,1968,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Gold
Belgium,1956,Wrestling,"Wrestling Men's Featherweight, Freestyle",Silver
Germany,1992,Canoeing,"Canoeing Women's Kayak Singles, Slalom",Gold
Spain,1984,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",Bronze
Germany,1968,Athletics,Athletics Men's Discus Throw,Silver
Germany,1956,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Gold
France,1952,Athletics,"Athletics Men's 5,000 metres",Silver
France,1952,Athletics,"Athletics Men's 10,000 metres",Silver
France,1956,Athletics,Athletics Men's Marathon,Gold
Italy,2008,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Gold
Great Britain,1972,Boxing,Boxing Men's Light-Middleweight,Bronze
Belgium,1960,Athletics,Athletics Men's 800 metres,Silver
Germany,1988,Swimming,Swimming Women's 400 metres Freestyle,Bronze
Italy,2012,Taekwondo,Taekwondo Men's Heavyweight,Gold
Germany,1996,Judo,Judo Men's Heavyweight,Bronze
Italy,2012,Canoeing,"Canoeing Men's Kayak Singles, Slalom",Gold
Italy,2004,Fencing,"Fencing Men's Sabre, Individual",Gold
Italy,2004,Fencing,"Fencing Men's Sabre, Team",Silver
Italy,2008,Fencing,"Fencing Men's Sabre, Team",Bronze
Italy,2012,Fencing,"Fencing Men's Sabre, Team",Bronze
Great Britain,1972,Equestrianism,"Equestrianism Mixed Jumping, Individual",Silver
Great Britain,1988,Swimming,Swimming Men's 100 metres Breaststroke,Gold
Italy,1964,Athletics,Athletics Men's 400 metres Hurdles,Bronze
Italy,2012,Gymnastics,Gymnastics Men's Rings,Bronze
France,1952,Diving,Diving Women's Springboard,Silver
France,1964,Cycling,Cycling Men's Sprint,Bronze
France,1968,Cycling,Cycling Men's Sprint,Gold
France,1968,Cycling,"Cycling Men's Tandem Sprint, 2,000 metres",Gold
France,1972,Cycling,Cycling Men's Sprint,Gold
France,1976,Cycling,Cycling Men's Sprint,Silver
Spain,1992,Cycling,"Cycling Men's 1,000 metres Time Trial",Gold
Spain,2004,Gymnastics,Gymnastics Women's Floor Exercise,Bronze
Italy,1952,Cycling,"Cycling Men's 1,000 metres Time Trial",Silver
Italy,2004,Judo,Judo Women's Half-Heavyweight,Bronze
Germany,1980,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Silver
France,1968,Swimming,Swimming Men's 400 metres Freestyle,Bronze
France,2016,Boxing,Boxing Women's Lightweight,Gold
France,1972,Judo,Judo Men's Lightweight,Bronze
France,2012,Swimming,Swimming Women's 200 metres Freestyle,Silver
France,2012,Swimming,Swimming Women's 400 metres Freestyle,Gold
Great Britain,2012,Taekwondo,Taekwondo Men's Welterweight,Bronze
Great Britain,2016,Taekwondo,Taekwondo Men's Welterweight,Silver
Germany,1992,Rowing,Rowing Women's Quadruple Sculls,Gold
Germany,1988,Athletics,Athletics Women's 400 metres,Silver
Germany,2000,Athletics,Athletics Women's Hammer Throw,Bronze
Germany,1980,Athletics,Athletics Men's 110 metres Hurdles,Gold
Spain,1992,Judo,Judo Women's Half-Lightweight,Gold
Great Britain,2012,Tennis,Tennis Men's Singles,Gold
Great Britain,2012,Tennis,Tennis Mixed Doubles,Silver
Great Britain,2016,Tennis,Tennis Men's Singles,Gold
Great Britain,2012,Modern Pentathlon,Modern Pentathlon Women's Individual,Silver
Great Britain,1988,Athletics,"Athletics Women's 3,000 metres",Bronze
Italy,1984,Boxing,Boxing Men's Heavyweight,Bronze
Italy,1960,Boxing,Boxing Men's Featherweight,Gold
Spain,2008,Tennis,Tennis Men's Singles,Gold
Great Britain,2012,Rowing,Rowing Men's Coxless Pairs,Bronze
Germany,1960,Equestrianism,"Equestrianism Mixed Dressage, Individual",Bronze
Germany,1988,Athletics,Athletics Women's Shot Put,Silver
Germany,1992,Athletics,Athletics Women's Shot Put,Bronze
Belgium,1956,Sailing,Sailing Mixed One Person Dinghy,Silver
Belgium,1960,Sailing,Sailing Mixed One Person Dinghy,Bronze
Italy,1956,Boxing,Boxing Men's Light-Welterweight,Silver
Germany,2004,Athletics,Athletics Women's Javelin Throw,Silver
Germany,1992,Weightlifting,Weightlifting Men's Super-Heavyweight,Bronze
Germany,1992,Cycling,Cycling Women's Sprint,Silver
Germany,1980,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Silver
Great Britain,2008,Cycling,Cycling Men's Points Race,Bronze
Germany,2012,Gymnastics,Gymnastics Men's Individual All-Around,Silver
Germany,2012,Gymnastics,Gymnastics Men's Parallel Bars,Silver
France,2016,Taekwondo,Taekwondo Women's Welterweight,Silver
Great Britain,1956,Boxing,Boxing Men's Featherweight,Silver
France,2016,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Silver
Great Britain,1964,Athletics,Athletics Men's 50 kilometres Walk,Silver
Germany,1976,Gymnastics,Gymnastics Men's Pommelled Horse,Bronze
Germany,1980,Gymnastics,Gymnastics Men's Pommelled Horse,Bronze
Germany,2000,Cycling,"Cycling Men's 1,000 metres Time Trial",Silver
Germany,2004,Cycling,"Cycling Men's 1,000 metres Time Trial",Bronze
France,2004,Fencing,"Fencing Women's epee, Individual",Bronze
France,1972,Fencing,"Fencing Men's Foil, Individual",Bronze
Germany,1988,Swimming,Swimming Women's 200 metres Butterfly,Gold
Germany,1968,Athletics,Athletics Men's Pole Vault,Bronze
Germany,1972,Athletics,Athletics Men's Pole Vault,Gold
Germany,1964,Athletics,"Athletics Men's 5,000 metres",Silver
Germany,1992,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Gold
France,1992,Judo,Judo Women's Extra-Lightweight,Gold
France,1984,Judo,Judo Men's Half-Middleweight,Bronze
Germany,1976,Boxing,Boxing Men's Featherweight,Silver
Germany,1980,Boxing,Boxing Men's Lightweight,Bronze
Belgium,1952,Cycling,"Cycling Men's Road Race, Individual",Gold
Italy,1984,Fencing,"Fencing Men's Foil, Individual",Gold
Great Britain,1980,Athletics,Athletics Men's 400 metres Hurdles,Bronze
Italy,1984,Weightlifting,Weightlifting Men's Heavyweight II,Gold
Germany,2008,Athletics,Athletics Women's Javelin Throw,Bronze
Germany,2012,Athletics,Athletics Women's Javelin Throw,Silver
France,2000,Fencing,"Fencing Men's epee, Individual",Silver
Great Britain,2016,Swimming,Swimming Women's 200 metres Individual Medley,Silver
Italy,2012,Fencing,"Fencing Men's Sabre, Individual",Silver
Germany,1980,Athletics,Athletics Women's 100 metres,Silver
Italy,1956,Cycling,"Cycling Men's Tandem Sprint, 2,000 metres",Bronze
Great Britain,2012,Boxing,Boxing Men's Middleweight,Bronze
Great Britain,2008,Athletics,Athletics Women's 400 metres,Gold
Great Britain,2012,Athletics,Athletics Women's 400 metres,Silver
Spain,2008,Cycling,Cycling Women's Points Race,Bronze
Spain,1996,Cycling,Cycling Men's Individual Time Trial,Silver
Great Britain,2012,Gymnastics,Gymnastics Men's Team All-Around,Bronze
Italy,1980,Boxing,Boxing Men's Light-Welterweight,Gold
France,2016,Swimming,Swimming Men's 10 kilometres Open Water,Bronze
France,1972,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",Bronze
France,1992,Fencing,"Fencing Men's Foil, Individual",Gold
Germany,2004,Rowing,Rowing Women's Double Sculls,Silver
Spain,2016,Athletics,Athletics Men's 110 metres Hurdles,Silver
Great Britain,1976,Sailing,Sailing Mixed Multihull,Gold
Great Britain,1984,Athletics,Athletics Men's Javelin Throw,Silver
Germany,2012,Athletics,Athletics Men's Pole Vault,Silver
Germany,1988,Swimming,Swimming Women's 50 metres Freestyle,Gold
Germany,1988,Swimming,Swimming Women's 100 metres Freestyle,Gold
Germany,1988,Swimming,Swimming Women's 100 metres Backstroke,Gold
Germany,1988,Swimming,Swimming Women's 100 metres Butterfly,Gold
France,1988,Equestrianism,"Equestrianism Mixed Dressage, Individual",Silver
Italy,1968,Athletics,Athletics Men's 110 metres Hurdles,Bronze
France,2016,Boxing,Boxing Men's Lightweight,Silver
France,2016,Boxing,Boxing Women's Flyweight,Silver
Great Britain,1980,Athletics,Athletics Men's 800 metres,Gold
Great Britain,1980,Athletics,"Athletics Men's 1,500 metres",Bronze
Germany,2012,Table Tennis,Table Tennis Men's Singles,Bronze
Great Britain,1964,Athletics,Athletics Women's 400 metres,Silver
Great Britain,1964,Athletics,Athletics Women's 800 metres,Gold
Great Britain,2016,Trampolining,Trampolining Women's Individual,Silver
France,1972,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Silver
Great Britain,1996,Swimming,Swimming Men's 400 metres Freestyle,Silver
Italy,2016,Swimming,"Swimming Men's 1,500 metres Freestyle",Gold
Italy,1960,Athletics,Athletics Men's 50 kilometres Walk,Bronze
Italy,1964,Athletics,Athletics Men's 50 kilometres Walk,Gold
Germany,1992,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",Silver
Germany,1992,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Gold
Great Britain,1972,Judo,Judo Men's Open Class,Bronze
France,1980,Judo,Judo Men's Heavyweight,Gold
France,1980,Judo,Judo Men's Open Class,Silver
France,1984,Judo,Judo Men's Heavyweight,Silver
Italy,1988,Boxing,Boxing Men's Featherweight,Gold
Great Britain,1968,Athletics,Athletics Women's Long Jump,Silver
France,1976,Equestrianism,"Equestrianism Mixed Jumping, Team",Gold
Great Britain,2004,Swimming,Swimming Men's 200 metres Butterfly,Bronze
Germany,1980,Athletics,Athletics Men's Long Jump,Silver
Spain,1992,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Individual,Silver
Great Britain,2008,Swimming,Swimming Women's 10 kilometres Open Water,Bronze
Italy,1956,Fencing,"Fencing Men's epee, Individual",Gold
France,2012,Judo,Judo Women's Lightweight,Bronze
Great Britain,2008,Swimming,Swimming Women's 10 kilometres Open Water,Silver
Great Britain,2016,Swimming,Swimming Men's 100 metres Breaststroke,Gold
Germany,2008,Sailing,Sailing Mixed Skiff,Bronze
Great Britain,2000,Shooting,Shooting Men's Trap,Silver
Belgium,1988,Shooting,Shooting Mixed Trap,Bronze
Italy,2004,Swimming,Swimming Women's 200 metres Freestyle,Silver
Italy,2008,Swimming,Swimming Women's 200 metres Freestyle,Gold
Italy,2000,Shooting,Shooting Men's Trap,Bronze
Italy,2004,Shooting,Shooting Men's Trap,Silver
Italy,2008,Shooting,Shooting Men's Trap,Silver
Italy,2016,Shooting,Shooting Men's Trap,Silver
Spain,1992,Athletics,Athletics Men's Decathlon,Silver
Great Britain,2008,Cycling,Cycling Women's Sprint,Gold
Great Britain,2012,Cycling,Cycling Women's Sprint,Silver
Great Britain,2012,Cycling,Cycling Women's Keirin,Gold
France,1984,Sailing,Sailing Mixed Two Person Dinghy,Bronze
France,1988,Sailing,Sailing Men's Two Person Dinghy,Gold
Italy,1996,Shooting,Shooting Men's Double Trap,Silver
France,2008,Cycling,"Cycling Men's Mountainbike, Cross-Country",Silver
Great Britain,2000,Sailing,Sailing Men's One Person Dinghy,Gold
Great Britain,2008,Sailing,Sailing Men's Two Person Keelboat,Gold
Great Britain,2012,Sailing,Sailing Men's Two Person Keelboat,Silver
France,1992,Athletics,Athletics Women's 400 metres,Gold
France,1996,Athletics,Athletics Women's 200 metres,Gold
France,1996,Athletics,Athletics Women's 400 metres,Gold
Spain,1996,Judo,Judo Men's Heavyweight,Silver
Germany,1964,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
Italy,1996,Athletics,Athletics Women's 10 kilometres Walk,Silver
France,2004,Canoeing,"Canoeing Men's Kayak Singles, Slalom",Gold
Italy,1956,Cycling,Cycling Men's Sprint,Silver
Germany,1988,Rowing,Rowing Women's Double Sculls,Gold
Germany,2012,Judo,Judo Men's Half-Heavyweight,Bronze
Great Britain,1972,Athletics,Athletics Women's Pentathlon,Gold
Italy,1964,Cycling,Cycling Men's Sprint,Gold
Italy,1964,Cycling,"Cycling Men's 1,000 metres Time Trial",Silver
Italy,1996,Cycling,"Cycling Women's Mountainbike, Cross-Country",Gold
Italy,2000,Cycling,"Cycling Women's Mountainbike, Cross-Country",Gold
Germany,2004,Canoeing,"Canoeing Men's Canadian Singles, Slalom",Bronze
Germany,1980,Shooting,"Shooting Mixed Running Target, 50 metres",Silver
Great Britain,1960,Diving,Diving Men's Platform,Bronze
Italy,2008,Boxing,Boxing Men's Flyweight,Bronze
France,2016,Sailing,Sailing Women's Windsurfer,Gold
Italy,1992,Judo,Judo Women's Middleweight,Silver
Italy,2000,Judo,Judo Women's Half-Heavyweight,Bronze
Italy,1956,Weightlifting,Weightlifting Men's Heavyweight,Bronze
Italy,1956,Weightlifting,Weightlifting Men's Middleweight,Bronze
Italy,1972,Athletics,"Athletics Women's 1,500 metres",Bronze
France,2004,Fencing,"Fencing Men's Sabre, Team",Gold
Germany,1992,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze
Great Britain,1992,Rowing,Rowing Men's Coxless Pairs,Gold
Great Britain,1996,Rowing,Rowing Men's Coxless Pairs,Gold
Italy,1964,Boxing,Boxing Men's Light-Heavyweight,Gold
Great Britain,1956,Athletics,"Athletics Men's 5,000 metres",Silver
Spain,1992,Athletics,Athletics Men's 20 kilometres Walk,Gold
France,1988,Swimming,Swimming Women's 100 metres Freestyle,Bronze
France,1992,Swimming,Swimming Women's 100 metres Butterfly,Bronze
France,1996,Fencing,"Fencing Men's Foil, Individual",Silver
France,1984,Swimming,Swimming Women's 100 metres Breaststroke,Bronze
Germany,2004,Swimming,Swimming Women's 200 metres Breaststroke,Bronze
Germany,1980,Swimming,Swimming Women's 200 metres Backstroke,Silver
Germany,1976,Swimming,Swimming Women's 100 metres Butterfly,Silver
Germany,1976,Swimming,Swimming Women's 200 metres Butterfly,Gold
Germany,1980,Swimming,Swimming Women's 100 metres Butterfly,Silver
Germany,1972,Athletics,Athletics Women's Pentathlon,Bronze
Germany,1976,Athletics,Athletics Women's Pentathlon,Bronze
Germany,1952,Equestrianism,"Equestrianism Mixed Dressage, Team",Bronze
Italy,1980,Wrestling,"Wrestling Men's Light-Flyweight, Freestyle",Gold
Great Britain,2008,Cycling,Cycling Women's Individual Time Trial,Silver
France,2008,Judo,Judo Women's Half-Heavyweight,Bronze
Germany,1976,Shooting,"Shooting Mixed Free Pistol, 50 metres",Gold
Germany,1952,Cycling,Cycling Men's Sprint,Bronze
France,2000,Gymnastics,Gymnastics Men's Pommelled Horse,Silver
Great Britain,2008,Boxing,Boxing Men's Super-Heavyweight,Bronze
Germany,1976,Swimming,Swimming Women's 100 metres Freestyle,Silver
Germany,1980,Diving,Diving Women's Springboard,Silver
Italy,1996,Fencing,"Fencing Men's Foil, Individual",Gold
Belgium,1972,Athletics,"Athletics Men's 10,000 metres",Silver
Germany,1980,Swimming,Swimming Men's 100 metres Butterfly,Silver
Germany,1980,Swimming,Swimming Men's 200 metres Butterfly,Bronze
Germany,1992,Boxing,Boxing Men's Light-Flyweight,Bronze
Great Britain,2000,Cycling,"Cycling Men's 1,000 metres Time Trial",Gold
Germany,1992,Judo,Judo Men's Half-Lightweight,Bronze
Germany,1996,Judo,Judo Men's Half-Lightweight,Gold
France,1984,Athletics,Athletics Men's Pole Vault,Gold
Spain,2004,Shooting,Shooting Women's Trap,Silver
Italy,2008,Judo,Judo Women's Lightweight,Gold
Great Britain,1960,Athletics,Athletics Women's 80 metres Hurdles,Silver
France,2016,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",Silver
France,2000,Shooting,Shooting Women's Trap,Silver
France,2012,Shooting,Shooting Women's Trap,Bronze
Great Britain,1960,Athletics,Athletics Men's 100 metres,Bronze
Germany,1964,Gymnastics,Gymnastics Women's Horse Vault,Silver
Italy,1964,Fencing,"Fencing Women's Foil, Individual",Bronze
Italy,1972,Fencing,"Fencing Women's Foil, Individual",Gold
Germany,2004,Boxing,Boxing Men's Flyweight,Bronze
Belgium,1992,Judo,Judo Women's Middleweight,Bronze
France,2004,Sailing,Sailing Men's Two Person Keelboat,Bronze
Italy,1972,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",Bronze
Great Britain,2000,Canoeing,"Canoeing Men's Kayak Singles, Slalom",Silver
Germany,2000,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",Bronze
Germany,2004,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",Gold
Germany,2008,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",Silver
Germany,2016,Canoeing,"Canoeing Men's Kayak Singles, 200 metres",Bronze
France,2016,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",Bronze
France,1968,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres",Gold
Germany,1992,Athletics,Athletics Women's High Jump,Gold
Belgium,1968,Weightlifting,Weightlifting Men's Heavyweight,Silver
Great Britain,2004,Canoeing,"Canoeing Women's Kayak Singles, Slalom",Bronze
Great Britain,1992,Boxing,Boxing Men's Light-Middleweight,Bronze
Germany,1972,Athletics,Athletics Men's 20 kilometres Walk,Bronze
Germany,1976,Athletics,Athletics Men's 20 kilometres Walk,Silver
Germany,1964,Athletics,Athletics Men's Pole Vault,Silver
Germany,1980,Swimming,Swimming Women's 100 metres Backstroke,Gold
Germany,1980,Swimming,Swimming Women's 200 metres Backstroke,Gold
Germany,2008,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",Bronze
Germany,2016,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",Gold
Great Britain,1976,Judo,Judo Men's Open Class,Silver
Great Britain,1992,Judo,Judo Women's Half-Lightweight,Bronze
Germany,1992,Athletics,Athletics Women's Javelin Throw,Gold
France,1996,Judo,Judo Women's Half-Lightweight,Gold
France,1964,Fencing,"Fencing Men's Foil, Individual",Bronze
France,1968,Fencing,"Fencing Men's Foil, Individual",Bronze
France,1980,Judo,Judo Men's Extra-Lightweight,Gold
Spain,1992,Boxing,Boxing Men's Featherweight,Silver
France,1980,Fencing,"Fencing Men's epee, Individual",Bronze
France,1984,Fencing,"Fencing Men's epee, Individual",Bronze
France,1988,Fencing,"Fencing Men's epee, Individual",Silver
Germany,1964,Athletics,Athletics Women's 80 metres Hurdles,Gold
Germany,1972,Athletics,Athletics Women's 100 metres Hurdles,Bronze
Great Britain,1952,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Bronze
Germany,1976,Swimming,Swimming Women's 100 metres Backstroke,Gold
Germany,1976,Swimming,Swimming Women's 200 metres Backstroke,Gold
Germany,1956,Athletics,"Athletics Men's 1,500 metres",Silver
Germany,1996,Athletics,Athletics Men's Discus Throw,Gold
Germany,2000,Athletics,Athletics Men's Discus Throw,Silver
Germany,1980,Swimming,Swimming Women's 100 metres Backstroke,Bronze
Germany,1992,Shooting,"Shooting Men's Air Rifle, 10 metres",Bronze
Italy,2008,Athletics,Athletics Women's 20 kilometres Walk,Bronze
France,2008,Judo,Judo Men's Heavyweight,Bronze
France,2012,Judo,Judo Men's Heavyweight,Gold
France,2016,Judo,Judo Men's Heavyweight,Gold
France,2016,Athletics,Athletics Women's Discus Throw,Silver
Great Britain,2000,Sailing,Sailing Women's One Person Dinghy,Gold
Great Britain,1956,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
Great Britain,1964,Equestrianism,"Equestrianism Mixed Jumping, Individual",Bronze
France,1968,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",Silver
France,1968,Wrestling,"Wrestling Men's Welterweight, Freestyle",Silver
Spain,1972,Boxing,Boxing Men's Light-Flyweight,Bronze
Belgium,1964,Athletics,"Athletics Men's 3,000 metres Steeplechase",Gold
Germany,2016,Athletics,Athletics Men's Javelin Throw,Gold
Italy,1980,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Gold
Germany,2008,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Gold
Italy,2008,Sailing,Sailing Men's One Person Dinghy,Bronze
Great Britain,2008,Cycling,"Cycling Women's Individual Pursuit, 3,000 metres",Gold
Italy,1964,Boxing,Boxing Men's Heavyweight,Bronze
Great Britain,2016,Golf,Golf Men's Individual,Gold
Germany,1996,Table Tennis,Table Tennis Men's Singles,Bronze
Italy,2000,Swimming,Swimming Men's 200 metres Freestyle,Bronze
Italy,2000,Swimming,Swimming Men's 400 metres Freestyle,Silver
Italy,2000,Swimming,Swimming Men's 200 metres Individual Medley,Gold
Italy,1992,Shooting,Shooting Mixed Skeet,Bronze
Italy,2016,Shooting,Shooting Men's Skeet,Gold
Italy,1996,Canoeing,"Canoeing Men's Kayak Singles, 500 metres",Gold
Italy,1996,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Gold
Italy,2012,Shooting,Shooting Women's Trap,Gold
Italy,1956,Shooting,Shooting Men's Trap,Gold
Italy,1960,Shooting,Shooting Men's Trap,Silver
Germany,1992,Cycling,"Cycling Women's Individual Pursuit, 3,000 metres",Gold
Germany,1964,Wrestling,"Wrestling Men's Lightweight, Freestyle",Silver
Germany,1988,Cycling,Cycling Women's Sprint,Silver
France,1996,Cycling,"Cycling Men's 1,000 metres Time Trial",Gold
France,2000,Cycling,Cycling Men's Sprint,Silver
France,2000,Cycling,Cycling Men's Keirin,Gold
France,1956,Cycling,Cycling Men's Sprint,Gold
Great Britain,2008,Rowing,Rowing Men's Double Sculls,Bronze
Great Britain,1988,Athletics,"Athletics Men's 3,000 metres Steeplechase",Bronze
Germany,1992,Boxing,Boxing Men's Lightweight,Silver
Italy,2000,Swimming,Swimming Men's 200 metres Breaststroke,Bronze
Germany,1996,Swimming,Swimming Women's 200 metres Backstroke,Bronze
Italy,2008,Boxing,Boxing Men's Heavyweight,Silver
Italy,2012,Boxing,Boxing Men's Heavyweight,Silver
Great Britain,2012,Athletics,Athletics Men's Long Jump,Gold
Great Britain,2016,Athletics,Athletics Men's Long Jump,Bronze
Germany,2000,Rowing,Rowing Women's Single Sculls,Bronze
Germany,2004,Rowing,Rowing Women's Single Sculls,Gold
Germany,1996,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Bronze
France,2012,Gymnastics,Gymnastics Men's Parallel Bars,Bronze
Italy,1968,Fencing,"Fencing Men's epee, Individual",Bronze
Italy,1952,Cycling,Cycling Men's Sprint,Gold
Italy,1992,Swimming,Swimming Men's 400 metres Individual Medley,Bronze
Germany,1972,Athletics,Athletics Men's Hammer Throw,Silver
Germany,2000,Equestrianism,"Equestrianism Mixed Dressage, Individual",Bronze
Germany,2004,Equestrianism,"Equestrianism Mixed Dressage, Individual",Silver
Spain,2008,Cycling,"Cycling Men's Road Race, Individual",Gold
Spain,1992,Tennis,Tennis Women's Singles,Bronze
Spain,1996,Tennis,Tennis Women's Singles,Silver
Germany,1952,Athletics,Athletics Women's 80 metres Hurdles,Bronze
Great Britain,1984,Athletics,Athletics Women's Javelin Throw,Gold
Italy,2004,Fencing,"Fencing Men's Foil, Individual",Silver
Italy,2008,Fencing,"Fencing Men's Foil, Individual",Bronze
Italy,1960,Boxing,Boxing Men's Light-Heavyweight,Bronze
Italy,2008,Taekwondo,Taekwondo Men's Welterweight,Silver
Italy,2012,Taekwondo,Taekwondo Men's Welterweight,Bronze
Italy,1988,Fencing,"Fencing Men's Sabre, Individual",Bronze
Italy,1972,Shooting,Shooting Mixed Trap,Gold
Italy,1996,Judo,Judo Women's Half-Heavyweight,Bronze
Italy,2000,Judo,Judo Women's Middleweight,Bronze
Germany,1952,Athletics,"Athletics Men's 5,000 metres",Bronze
Germany,1980,Athletics,Athletics Men's 400 metres,Bronze
Germany,1976,Athletics,Athletics Women's 100 metres Hurdles,Gold
Germany,1980,Athletics,Athletics Women's 100 metres Hurdles,Silver
Germany,2016,Gymnastics,Gymnastics Women's Uneven Bars,Bronze
Germany,1976,Rowing,Rowing Women's Single Sculls,Gold
Germany,2004,Diving,Diving Men's Synchronized Springboard,Silver
Germany,1988,Athletics,Athletics Men's Decathlon,Gold
Germany,1952,Canoeing,"Canoeing Men's Kayak Singles, 10,000 metres",Bronze
Germany,1956,Canoeing,"Canoeing Men's Kayak Singles, 10,000 metres",Bronze
France,1960,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",Bronze
Germany,1976,Athletics,Athletics Women's Discus Throw,Gold
Germany,1980,Athletics,Athletics Women's Discus Throw,Gold
Germany,1960,Fencing,"Fencing Women's Foil, Individual",Gold
Germany,1964,Fencing,"Fencing Women's Foil, Team",Bronze
Germany,1980,Swimming,Swimming Women's 200 metres Freestyle,Bronze
Germany,1980,Swimming,Swimming Women's 400 metres Freestyle,Bronze
Germany,1988,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Silver
Germany,2000,Canoeing,"Canoeing Men's Kayak Singles, Slalom",Gold
Germany,1976,Athletics,Athletics Men's Discus Throw,Silver
Germany,1980,Swimming,Swimming Women's 400 metres Freestyle,Silver
Germany,1980,Swimming,Swimming Women's 400 metres Individual Medley,Gold
Germany,1960,Equestrianism,"Equestrianism Mixed Jumping, Team",Gold
Germany,1980,Athletics,Athletics Women's Shot Put,Gold
